"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"1",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"2",24.91,24.819,24.729,24.639,24.548,24.458,24.368,24.277,11.072,11.206,11.425,11.725,12.099,12.542,13.046,13.604,3.8234,1
"3",25.091,25.182,25.273,25.364,25.455,25.547,25.638,25.729,11.524,11.649,11.854,12.135,12.487,12.905,13.381,13.911,7.724,1
"4",25.012,25.025,25.037,25.05,25.062,25.075,25.087,25.1,11.347,11.472,11.679,11.962,12.316,12.735,13.214,13.745,11.533,1
"5",24.931,24.862,24.793,24.724,24.655,24.586,24.517,24.448,11.206,11.332,11.539,11.823,12.178,12.599,13.078,13.61,15.33,1
"6",24.847,24.694,24.541,24.388,24.235,24.082,23.929,23.777,11.127,11.253,11.459,11.743,12.097,12.517,12.995,13.526,19.135,1
"7",24.762,24.524,24.285,24.047,23.809,23.571,23.332,23.094,11.095,11.22,11.426,11.707,12.06,12.478,12.954,13.482,22.959,1
"8",24.676,24.352,24.028,23.704,23.38,23.056,22.732,22.408,11.002,11.127,11.333,11.614,11.967,12.384,12.859,13.387,26.746,1
"9",24.589,24.179,23.768,23.357,22.946,22.536,22.125,21.714,10.934,11.059,11.264,11.545,11.896,12.312,12.786,13.312,30.542,1
"10",24.502,24.003,23.505,23.007,22.509,22.01,21.512,21.014,10.875,11,11.204,11.484,11.834,12.249,12.721,13.245,34.341,1
"11",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"12",24.941,24.883,24.824,24.765,24.707,24.648,24.589,24.53,17.038,17.126,17.271,17.472,17.726,18.033,18.389,18.791,4.2544,1
"13",24.882,24.764,24.646,24.527,24.409,24.291,24.173,24.055,16.931,17.019,17.164,17.365,17.621,17.928,18.284,18.687,8.4997,1
"14",24.823,24.645,24.468,24.29,24.113,23.935,23.758,23.581,16.909,16.996,17.141,17.342,17.597,17.904,18.259,18.661,12.751,1
"15",24.764,24.527,24.291,24.055,23.818,23.582,23.346,23.109,16.923,17.01,17.155,17.355,17.609,17.914,18.268,18.669,17.012,1
"16",24.704,24.407,24.111,23.814,23.518,23.222,22.925,22.629,16.868,16.955,17.099,17.299,17.553,17.858,18.212,18.613,21.257,1
"17",24.643,24.286,23.929,23.572,23.215,22.859,22.502,22.145,16.811,16.898,17.042,17.242,17.496,17.801,18.155,18.555,25.499,1
"18",24.582,24.164,23.746,23.328,22.91,22.492,22.074,21.656,16.747,16.834,16.978,17.178,17.432,17.737,18.091,18.491,29.735,1
"19",24.52,24.039,23.559,23.079,22.598,22.118,21.638,21.157,16.655,16.742,16.886,17.087,17.341,17.646,18.001,18.401,33.954,1
"20",24.46,23.92,23.38,22.84,22.3,21.76,21.22,20.68,16.663,16.75,16.894,17.094,17.347,17.651,18.004,18.403,38.22,1
"21",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"22",25.049,25.098,25.146,25.195,25.244,25.293,25.341,25.39,20.509,20.581,20.702,20.87,21.084,21.343,21.645,21.988,4.4398,1
"23",25.098,25.196,25.294,25.391,25.489,25.587,25.685,25.783,20.441,20.514,20.634,20.803,21.017,21.276,21.578,21.921,8.8753,1
"24",25.146,25.292,25.438,25.584,25.729,25.875,26.021,26.167,20.563,20.636,20.756,20.922,21.135,21.392,21.691,22.032,13.334,1
"25",25.196,25.392,25.588,25.784,25.98,26.176,26.372,26.567,20.413,20.486,20.606,20.774,20.987,21.245,21.546,21.888,17.755,1
"26",25.246,25.491,25.737,25.983,26.228,26.474,26.72,26.966,20.349,20.421,20.542,20.71,20.923,21.181,21.482,21.825,22.184,1
"27",25.296,25.591,25.887,26.182,26.478,26.773,27.069,27.364,20.303,20.376,20.496,20.664,20.877,21.136,21.436,21.779,26.615,1
"28",25.345,25.691,26.036,26.382,26.727,27.072,27.418,27.763,20.265,20.338,20.458,20.626,20.839,21.097,21.398,21.74,31.046,1
"29",25.397,25.794,26.191,26.588,26.985,27.382,27.779,28.176,20.149,20.222,20.343,20.511,20.725,20.984,21.285,21.628,35.446,1
"30",25.448,25.896,26.344,26.792,27.24,27.688,28.136,28.583,20.091,20.164,20.285,20.453,20.667,20.925,21.227,21.57,39.862,1
"31",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"32",24.927,24.853,24.78,24.706,24.633,24.559,24.486,24.412,13.615,13.724,13.904,14.152,14.465,14.839,15.268,15.749,4.0301,1
"33",24.851,24.703,24.554,24.406,24.257,24.109,23.96,23.812,13.465,13.575,13.755,14.005,14.319,14.694,15.125,15.608,8.0436,1
"34",24.774,24.549,24.323,24.098,23.872,23.647,23.421,23.196,13.301,13.412,13.594,13.845,14.161,14.537,14.971,15.455,12.038,1
"35",24.697,24.394,24.091,23.788,23.485,23.182,22.879,22.575,13.198,13.308,13.491,13.742,14.058,14.436,14.869,15.354,16.031,1
