"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"1",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"2",13.928,19.028,24.063,24.957,24.999,25,25,25,0.14239,9.3239,11.033,11.072,11.073,11.073,11.073,11.073,3.8234,1
"3",13.928,36.768,25,25,25,25,25,25,0.14241,0.14241,11.426,11.426,11.426,11.426,11.426,11.426,7.7097,1
"4",14.066,36.765,25,25,25,25,25,25,0.23794,0.27474,11.36,11.36,11.36,11.36,11.36,11.36,7.8251,1
"5",14.129,36.766,25,25,25,25,25,25,0.20336,0.24905,11.329,11.329,11.329,11.329,11.329,11.329,7.6066,1
"6",14.113,36.767,25,25,25,25,25,25,0.16488,0.20855,11.337,11.337,11.337,11.337,11.337,11.337,6.9017,1
"7",14.044,36.765,25,25,25,25,25,25,0.21974,0.28366,11.371,11.371,11.371,11.371,11.371,11.371,7.7544,1
"8",14.052,36.766,25,25,25,25,25,25,0.19515,0.2555,11.367,11.367,11.367,11.367,11.367,11.367,7.1344,1
"9",14.031,36.766,25,25,25,25,25,25,0.18589,0.24589,11.377,11.377,11.377,11.377,11.377,11.377,6.6912,1
"10",14.001,36.766,25,25,25,25,25,25,0.19357,0.25808,11.391,11.391,11.391,11.391,11.391,11.391,6.7688,1
"11",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"12",7.962,15.81,23.558,24.934,24.999,25,25,25,0.13924,14.347,16.977,17.038,17.039,17.039,17.039,17.039,4.2544,1
"13",8.0099,15.835,23.562,24.934,24.999,25,25,25,0.083714,14.307,16.929,16.99,16.99,16.99,16.99,16.99,3.334,1
"14",7.9727,15.815,23.559,24.934,24.999,25,25,25,0.092998,14.338,16.966,17.027,17.028,17.028,17.028,17.028,2.6029,1
"15",7.8999,15.776,23.552,24.934,24.999,25,25,25,0.17922,14.4,17.04,17.101,17.101,17.101,17.101,17.101,3.716,1
"16",7.8948,15.773,23.552,24.934,24.999,25,25,25,0.15255,14.404,17.044,17.106,17.106,17.106,17.106,17.106,2.853,1
"17",7.8912,15.771,23.552,24.934,24.999,25,25,25,0.13487,14.407,17.048,17.109,17.109,17.109,17.109,17.109,1.8465,1
"18",7.8941,15.773,23.552,24.934,24.999,25,25,25,0.12215,14.404,17.045,17.106,17.106,17.106,17.106,17.106,0.7291,1
"19",7.9242,15.789,23.554,24.934,24.999,25,25,25,0.144,14.379,17.015,17.076,17.076,17.076,17.076,17.076,1.2512,1
"20",7.8567,15.753,23.549,24.934,24.999,25,25,25,0.25253,14.438,17.084,17.145,17.145,17.145,17.145,17.145,5.2796,1
"21",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"22",45.508,36.062,26.736,25.079,25.001,25,25,25,0.14225,17.269,20.435,20.508,20.509,20.509,20.509,20.509,4.4398,1
"23",45.49,36.052,26.735,25.079,25.001,25,25,25,0.032775,17.253,20.416,20.49,20.49,20.49,20.49,20.49,2.5836,1
"24",45.658,36.143,26.749,25.08,25.001,25,25,25,0.34039,17.398,20.587,20.661,20.661,20.661,20.661,20.661,5.3913,1
"25",45.558,36.089,26.74,25.079,25.001,25,25,25,0.35106,17.314,20.487,20.56,20.561,20.561,20.561,20.561,5.9171,1
"26",45.543,36.081,26.739,25.079,25.001,25,25,25,0.30002,17.301,20.472,20.545,20.546,20.546,20.546,20.546,5.7418,1
"27",45.548,36.084,26.74,25.079,25.001,25,25,25,0.26487,17.305,20.476,20.55,20.55,20.55,20.55,20.55,5.4044,1
"28",45.561,36.091,26.741,25.079,25.001,25,25,25,0.24179,17.315,20.488,20.562,20.562,20.562,20.562,20.562,5.0102,1
"29",45.495,36.055,26.735,25.079,25.001,25,25,25,0.29593,17.26,20.424,20.497,20.497,20.497,20.497,20.497,6.4757,1
"30",45.488,36.051,26.734,25.079,25.001,25,25,25,0.27605,17.254,20.416,20.49,20.49,20.49,20.49,20.49,6.1702,1
"31",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"32",11.385,17.656,23.847,24.947,24.999,25,25,25,0.13537,11.465,13.566,13.615,13.615,13.615,13.615,13.615,4.0301,1
"33",11.461,17.697,23.854,24.948,24.999,25,25,25,0.13139,11.401,13.491,13.54,13.54,13.54,13.54,13.54,3.5577,1
"34",11.549,17.744,23.861,24.948,24.999,25,25,25,0.19574,11.328,13.404,13.453,13.453,13.453,13.453,13.453,3.8557,1
"35",11.575,17.758,23.863,24.948,24.999,25,25,25,0.16536,11.306,13.378,13.426,13.427,13.427,13.427,13.427,3.2324,1
"36",11.565,17.753,23.863,24.948,24.999,25,25,25,0.14227,11.314,13.388,13.436,13.436,13.436,13.436,13.436,2.3326,1
"37",11.606,17.775,23.866,24.948,24.999,25,25,25,0.1668,11.279,13.347,13.395,13.395,13.395,13.395,13.395,2.6641,1
"38",11.564,17.753,23.863,24.948,24.999,25,25,25,0.19205,11.315,13.389,13.437,13.437,13.437,13.437,13.437,3.2028,1
"39",11.612,17.778,23.867,24.948,24.999,25,25,25,0.22664,11.276,13.342,13.39,13.39,13.39,13.39,13.39,4.1828,1
"40",11.57,17.756,23.863,24.948,24.999,25,25,25,0.24829,11.311,13.384,13.432,13.432,13.432,13.432,13.432,4.8999,1
"41",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
"42",6.3041,14.915,23.417,24.928,24.999,25,25,25,0.14242,15.743,18.629,18.696,18.696,18.696,18.696,18.696,4.3473,1
"43",6.2069,14.863,23.409,24.927,24.999,25,25,25,0.16832,15.826,18.726,18.794,18.794,18.794,18.794,18.794,4.1334,1
"44",6.0916,14.801,23.399,24.927,24.999,25,25,25,0.25714,15.924,18.842,18.91,18.91,18.91,18.91,18.91,4.7419,1
"45",6.2567,14.89,23.413,24.928,24.999,25,25,25,0.41954,15.788,18.681,18.748,18.748,18.748,18.748,18.748,6.3594,1
"46",6.1845,14.851,23.407,24.927,24.999,25,25,25,0.39701,15.848,18.752,18.82,18.82,18.82,18.82,18.82,6.7744,1
"47",6.2212,14.871,23.41,24.927,24.999,25,25,25,0.36363,15.817,18.715,18.782,18.782,18.782,18.782,18.782,6.8988,1
"48",6.2206,14.87,23.41,24.927,24.999,25,25,25,0.32854,15.817,18.715,18.782,18.782,18.782,18.782,18.782,6.7592,1
