"","id","trial","round","arm","out"
"1",1,1,1,1,48.0238079383
"2",1,2,1,3,30.4428747936
"3",1,3,1,2,24.3833046121
"4",1,4,1,4,42.1091660912
"5",1,5,1,5,12.764833286
"6",1,6,1,6,18.6993192181
"7",1,7,1,7,36.3326711577
"8",1,8,1,8,6.0305255448
"9",1,9,1,3,29.9760562886
"10",1,10,1,3,29.8811872352
"11",1,1,2,3,33.8945295964
"12",1,2,2,1,44.0976071436
"13",1,3,2,1,43.91995546
"14",1,4,2,1,44.2813726759
"15",1,5,2,7,39.8047943652
"16",1,6,2,6,23.9368759282
"17",1,7,2,5,29.5899581243
"18",1,8,2,4,14.8080960806
"19",1,9,2,1,43.406835369
"20",1,10,2,2,19.3755245555
"21",1,1,3,1,45.6861802549
"22",1,2,3,4,24.7932930176
"23",1,3,3,7,29.4800744475
"24",1,4,3,3,35.2455788948
"25",1,5,3,1,45.945041433
"26",1,6,3,2,10.4303555825
"27",1,7,3,1,46.0181567993
"28",1,8,3,1,45.0775679672
"29",1,9,3,1,45.4870790888
"30",1,10,3,1,45.4355437131
"31",1,1,4,8,42.436460501
"32",1,2,4,1,4.824105198
"33",1,3,4,7,26.4938256312
"34",1,4,4,8,42.4226121642
"35",1,5,4,8,42.0948028992
"36",1,6,4,8,42.3969277776
"37",1,7,4,3,30.9960042154
"38",1,8,4,8,42.2277227887
"39",1,9,4,8,42.0488965243
"40",1,10,4,8,41.8158857895
"41",1,1,5,8,10.5244549202
"42",1,2,5,1,26.6425514356
"43",1,3,5,3,4.6386664604
"44",1,4,5,5,15.2341203192
"45",1,5,5,7,32.5012333634
"46",1,6,5,6,21.8265371947
"47",1,7,5,2,37.8101187944
"48",1,8,5,2,37.8250229896
"49",1,9,5,4,43.2237327445
"50",1,10,5,4,43.7989029868
"51",1,1,6,4,31.6289770022
"52",1,2,6,3,36.0445695886
"53",1,3,6,2,21.9601372552
"54",1,4,6,5,26.7889216211
"55",1,5,6,7,12.9764657068
"56",1,6,6,1,41.2816911218
"57",1,7,6,1,40.7479599204
"58",1,8,6,1,41.1102467589
"59",1,9,6,1,41.0192442053
"60",1,10,6,1,40.963281579
"61",1,1,7,8,9.7197534143
"62",1,2,7,1,31.0170175327
"63",1,3,7,4,35.9274625283
"64",1,4,7,2,24.755030958
"65",1,5,7,6,40.7465379148
"66",1,6,7,7,46.5833457838
"67",1,7,7,7,45.5506818052
"68",1,8,7,7,45.5839792708
"69",1,9,7,7,45.780543058
"70",1,10,7,7,46.3989315845
"71",1,1,8,1,44.9296870019
"72",1,2,8,1,45.4078963854
"73",1,3,8,1,45.6837648463
"74",1,4,8,1,44.9518561168
"75",1,5,8,1,45.5304315923
"76",1,6,8,1,44.8589837332
"77",1,7,8,1,44.965793884
"78",1,8,8,1,45.5664508805
"79",1,9,8,1,45.8874355775
"80",1,10,8,1,44.9605083368
"81",1,1,9,1,8.8777639877
"82",1,2,9,8,45.2886979919
"83",1,3,9,8,45.8416427994
"84",1,4,9,8,45.7525456809
"85",1,5,9,8,45.7491327254
"86",1,6,9,8,46.198230336
"87",1,7,9,8,45.8657661063
"88",1,8,9,8,45.888403605
"89",1,9,9,8,46.3122671839
"90",1,10,9,8,45.637014315
"91",1,1,10,8,42.1878480352
"92",1,2,10,7,14.0598908831
"93",1,3,10,8,41.5414727589
"94",1,4,10,6,20.5467238224
"95",1,5,10,1,4.0565432451
"96",1,6,10,2,36.4265924185
"97",1,7,10,3,9.075416754
"98",1,8,10,4,26.013819381
"99",1,9,10,5,31.5646827149
"100",1,10,10,8,42.3006321357
"101",1,1,11,8,3.6732790351
"102",1,2,11,7,36.665337609
"103",1,3,11,6,31.2622462687
"104",1,4,11,5,20.3992284803
"105",1,5,11,1,42.821288664
"106",1,6,11,1,42.6356563687
"107",1,7,11,1,42.839157305
"108",1,8,11,1,42.3595800044
"109",1,9,11,1,42.2012537627
"110",1,10,11,1,42.6986047415
"111",1,1,12,8,3.879541921
"112",1,2,12,5,15.8345589333
"113",1,3,12,7,27.4247227739
"114",1,4,12,1,45.7003764565
"115",1,5,12,1,45.5215032135
"116",1,6,12,1,46.1323168048
"117",1,7,12,1,45.2863257233
"118",1,8,12,1,45.2779896494
"119",1,9,12,1,45.2316712595
"120",1,10,12,1,45.4735839243
"121",1,1,13,1,11.1627013912
"122",1,2,13,7,16.7822232422
"123",1,3,13,8,22.0334000676
"124",1,4,13,3,32.9419964267
"125",1,5,13,2,43.0504397186
"126",1,6,13,2,43.4874706111
"127",1,7,13,2,43.2614165991
"128",1,8,13,2,43.7682870856
