,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
1,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1,1,1
2,25.043,25.087,25.13,25.174,25.217,25.261,25.304,25.347,23.024,23.089,23.197,23.347,23.538,23.77,24.042,24.351,4.5555,1,2,1
3,25.136,25.272,25.408,25.544,25.68,25.816,25.952,26.088,16.745,16.831,16.974,17.172,17.423,17.725,18.076,18.472,8.4802,1,3,1
4,25.19,25.38,25.571,25.761,25.951,26.141,26.332,26.522,13.686,13.788,13.955,14.187,14.479,14.828,15.23,15.681,12.118,1,4,1
5,25.471,25.942,26.413,26.884,27.354,27.825,28.296,28.767,14.041,14.134,14.286,14.497,14.764,15.084,15.453,15.868,16.351,1,5,1
6,25.174,25.347,25.521,25.694,25.868,26.042,26.215,26.389,14.393,14.475,14.611,14.799,15.037,15.323,15.654,16.028,20.447,1,6,1
7,25.028,25.055,25.083,25.11,25.138,25.165,25.193,25.221,13.582,13.655,13.777,13.946,14.16,14.418,14.716,15.053,24.191,1,7,1
8,25.278,25.555,25.833,26.111,26.389,26.666,26.944,27.222,13.171,13.234,13.338,13.482,13.666,13.886,14.143,14.433,28.079,1,8,1
9,24.84,24.681,24.521,24.361,24.201,24.042,23.882,23.722,14.232,14.285,14.372,14.492,14.646,14.832,15.048,15.294,32.696,1,9,1
10,24.874,24.748,24.622,24.495,24.369,24.243,24.117,23.991,13.534,13.585,13.67,13.788,13.937,14.119,14.33,14.569,36.331,1,10,1
11,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,2,1,1
12,25.337,25.675,26.012,26.349,26.686,27.024,27.361,27.698,8.4261,8.5824,8.8368,9.1811,9.6057,10.1,10.655,11.262,3.6044,2,2,1
13,25.201,25.402,25.603,25.804,26.005,26.206,26.407,26.609,14.787,14.883,15.043,15.264,15.543,15.878,16.265,16.7,8.2417,2,3,1
14,25.238,25.476,25.714,25.952,26.191,26.429,26.667,26.905,16.177,16.265,16.412,16.615,16.873,17.183,17.542,17.948,12.631,2,4,1
15,25.283,25.566,25.849,26.133,26.416,26.699,26.982,27.265,16.899,16.984,17.125,17.32,17.567,17.865,18.211,18.602,17.019,2,5,1
16,25.609,26.218,26.826,27.435,28.044,28.653,29.262,29.87,15.747,15.823,15.949,16.125,16.347,16.615,16.925,17.277,21.067,2,6,1
17,25.583,26.167,26.75,27.333,27.917,28.5,29.083,29.667,14.642,14.712,14.828,14.99,15.195,15.442,15.729,16.053,24.808,2,7,1
18,25.674,26.347,27.021,27.694,28.368,29.041,29.715,30.388,13.482,13.548,13.658,13.81,14.004,14.236,14.507,14.812,28.414,2,8,1
