,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
1,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1,1,1
2,48.023,37.419,26.949,25.089,25.001,25,25,25,0.12889,19.387,22.941,23.024,23.024,23.024,23.024,23.024,4.5555,1,2,1
3,48.023,41.084,30.443,24.244,23.31,24.171,24.774,24.961,0.12889,4.601,0.12889,8.8474,14.654,16.455,16.712,16.729,8.3603,1,3,1
4,48.023,24.383,30.443,25,25,25,25,25,0.12899,0.12899,0.12899,13.664,13.664,13.664,13.664,13.664,12.101,1,4,1
5,48.023,24.383,30.443,42.108,25,25,25,25,0.12899,0.12899,0.12899,0.12899,14.602,14.602,14.602,14.602,16.4,1,5,1
6,48.023,24.383,30.443,42.108,12.765,25,25,25,0.12899,0.12899,0.12899,0.12899,0.12899,14.16,14.16,14.16,20.347,1,6,1
7,48.023,24.383,30.443,42.108,12.765,18.7,25,25,0.12899,0.12899,0.12899,0.12899,0.12899,0.12899,13.18,13.18,23.986,1,7,1
8,48.023,24.383,30.443,42.108,12.765,18.7,36.332,25,0.12899,0.12899,0.12899,0.12899,0.12899,0.12899,0.12899,12.932,27.85,1,8,1
9,48.023,24.383,30.443,42.108,12.765,18.7,36.332,6.0314,0.12899,0.12899,0.12899,0.12899,0.12899,0.12899,0.12899,0.12899,32.367,1,9,1
10,48.011,24.384,30.208,42.099,12.772,18.703,36.326,6.0413,0.46681,0.46681,0.40431,0.46681,0.46681,0.46681,0.46681,0.46681,33.018,1,10,1
11,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,2,1,1
12,25.753,29.797,33.893,29.797,25.753,25.034,25,25,8.8626,7.49,0.13901,7.49,8.8626,8.8945,8.8945,8.8945,3.6044,2,2,1
13,44.096,39.83,33.895,28.337,24.609,23.009,22.932,23.523,0.13901,1.4077,0.13901,3.5596,7.7691,11.251,13.409,14.423,7.7993,2,3,1
14,44.008,39.775,33.896,28.376,24.651,23.029,22.927,23.504,0.15384,1.3895,0.17764,3.5151,7.6832,11.151,13.319,14.349,7.4785,2,4,1
15,44.098,39.832,33.897,28.338,24.61,23.01,22.933,23.523,0.20866,1.4185,0.25554,3.5685,7.7742,11.255,13.412,14.426,7.7652,2,5,1
16,44.098,39.725,33.896,31.172,33.126,37.301,39.802,38.613,0.20867,2.3251,0.25555,4.6652,7.3878,5.5866,0.25555,6.4509,11.955,2,6,1
17,44.098,25,33.893,25,25,23.937,39.802,25,0.20867,12.885,0.25556,12.885,12.885,0.25556,0.25556,12.885,15.866,2,7,1
18,44.098,25,33.892,25,29.589,23.937,39.801,25,0.20866,11.708,0.25554,11.708,0.25554,0.25554,0.25554,11.708,19.361,2,8,1
19,44.098,25,33.892,14.811,29.589,23.937,39.801,25,0.20866,11.469,0.25554,0.25554,0.25554,0.25554,0.25554,11.469,23.117,2,9,1
20,43.921,25,33.885,14.819,29.585,23.938,39.789,25,0.42085,11.424,0.53221,0.53221,0.53221,0.53221,0.53221,11.424,25.146,2,10,1
