"","id","trial","round","arm","out"
"1",1,1,1,1,10.214093014
"2",1,2,1,1,10.3010973598
"3",1,3,1,1,9.8435458233
"4",1,4,1,1,9.3476676528
"5",1,5,1,1,9.8304303126
"6",1,6,1,1,9.4076553526
"7",1,7,1,1,9.5965123781
"8",1,8,1,1,9.6398261295
"9",1,9,1,1,9.9500835361
"10",1,10,1,1,9.7312734108
"11",1,1,2,5,22.571423519
"12",1,2,2,5,22.8164001642
"13",1,3,2,5,22.348410892
"14",1,4,2,5,22.3571775237
"15",1,5,2,5,22.4875594659
"16",1,6,2,5,23.0352780107
"17",1,7,2,5,21.9065576071
"18",1,8,2,5,22.5211514128
"19",1,9,2,5,22.2248687746
"20",1,10,2,5,22.4313596505
"21",1,1,3,8,2.1871696751
"22",1,2,3,8,2.7992605514
"23",1,3,3,8,2.0670512754
"24",1,4,3,8,2.8449550277
"25",1,5,3,8,2.4428887948
"26",1,6,3,8,2.2487914202
"27",1,7,3,8,1.3585773458
"28",1,8,3,8,1.7297948749
"29",1,9,3,8,2.7281747436
"30",1,10,3,8,2.2943737605
"31",1,1,4,1,35.3468658332
"32",1,2,4,1,34.7204452755
"33",1,3,4,1,34.6250117887
"34",1,4,4,1,34.7760212996
"35",1,5,4,1,34.7088712149
"36",1,6,4,2,17.9941179215
"37",1,7,4,1,34.5384871538
"38",1,8,4,1,34.6670558151
"39",1,9,4,1,34.2137508892
"40",1,10,4,1,34.6122136432
"41",1,1,5,5,23.7745365387
"42",1,2,5,5,23.617767473
"43",1,3,5,5,24.0461422634
"44",1,4,5,5,23.1039106281
"45",1,5,5,5,23.6017534975
"46",1,6,5,5,23.5198273113
"47",1,7,5,5,24.1348806576
"48",1,8,5,5,23.4250759141
"49",1,9,5,5,23.2381619011
"50",1,10,5,5,23.2463551385
"51",1,1,6,6,5.0006098001
"52",1,2,6,6,4.7872118937
"53",1,3,6,6,4.9192191612
"54",1,4,6,3,9.7558340605
"55",1,5,6,3,10.7058480645
"56",1,6,6,3,9.5703931228
"57",1,7,6,3,9.8258354631
"58",1,8,6,3,9.8432617689
"59",1,9,6,3,9.8804034915
"60",1,10,6,3,9.9718827768
"61",1,1,7,7,5.9223538497
"62",1,2,7,1,17.629629001
"63",1,3,7,4,23.1561952564
"64",1,4,7,5,29.5534938329
"65",1,5,7,6,12.0376129993
"66",1,6,7,3,45.6988317472
"67",1,7,7,3,45.821994187
"68",1,8,7,3,45.7414522924
"69",1,9,7,3,45.7020211368
"70",1,10,7,3,46.4661819195
"71",1,1,8,5,29.0251497827
"72",1,2,8,5,29.0851759833
"73",1,3,8,5,28.8208306069
"74",1,4,8,5,29.1231189285
"75",1,5,8,5,29.1041905882
"76",1,6,8,5,29.3527076526
"77",1,7,8,5,28.8317537814
"78",1,8,8,5,28.6729554049
"79",1,9,8,5,28.4207909629
"80",1,10,8,5,29.0124719131
"81",1,1,9,8,7.1052246208
"82",1,2,9,1,45.6649083984
"83",1,3,9,1,45.982781384
"84",1,4,9,1,45.6114736942
"85",1,5,9,1,45.6151069714
"86",1,6,9,1,45.0800343388
"87",1,7,9,1,45.0079712803
"88",1,8,9,1,45.4921729322
"89",1,9,9,1,45.1226845264
"90",1,10,9,1,45.7871107618
"91",1,1,10,5,29.8293994852
"92",1,2,10,3,19.3070056894
"93",1,3,10,6,34.6952493469
"94",1,4,10,6,34.9502220155
"95",1,5,10,5,29.7444838961
"96",1,6,10,6,35.5085873959
"97",1,7,10,6,35.8484684275
"98",1,8,10,6,35.4984144476
"99",1,9,10,6,35.2050918901
"100",1,10,10,6,35.5334458279
"101",1,1,11,4,40.9604891572
"102",1,2,11,4,41.5433253857
"103",1,3,11,4,41.4602803043
"104",1,4,11,4,41.219488796
"105",1,5,11,4,40.8162257146
"106",1,6,11,4,41.0794058314
"107",1,7,11,4,41.5002167778
"108",1,8,11,4,41.2978017374
"109",1,9,11,4,40.8907560093
"110",1,10,11,4,41.445194138
"111",1,1,12,1,34.8883846377
"112",1,2,12,1,34.7684932668
"113",1,3,12,1,34.69534964
"114",1,4,12,1,34.8006548895
"115",1,5,12,1,34.4437774754
"116",1,6,12,1,34.4980299025
"117",1,7,12,1,34.8858393726
"118",1,8,12,1,34.5264940161
"119",1,9,12,1,34.6476500528
"120",1,10,12,1,34.9636158681
"121",1,1,13,8,40.6167432633
"122",1,2,13,5,25.388051402
"123",1,3,13,3,14.742401244
"124",1,4,13,8,40.7338032782
"125",1,5,13,8,40.7157972389
"126",1,6,13,8,40.3922940133
"127",1,7,13,8,40.7548170749
"128",1,8,13,8,40.8544836431
"129",1,9,13,8,40.5484783512
"130",1,10,13,8,40.5367351969
"131",1,1,14,1,39.9912364229
"132",1,2,14,1,40.6571825843
"133",1,3,14,1,40.5211719845
"134",1,4,14,1,40.2100930418
"135",1,5,14,1,40.2334108027
"136",1,6,14,1,40.3560714077
"137",1,7,14,1,40.6524077507
"138",1,8,14,1,39.7683948813
"139",1,9,14,1,39.8779041852
"140",1,10,14,1,40.0243920303
"141",1,1,15,1,45.7977193922
"142",1,2,15,1,45.55242078
"143",1,3,15,1,45.8416247406
"144",1,4,15,1,45.3576993095
"145",1,5,15,1,45.4077929138
"146",1,6,15,1,44.9193389425
"147",1,7,15,1,45.0970054463
"148",1,8,15,1,45.3023073801
"149",1,9,15,1,45.3997089717
"150",1,10,15,1,45.4979585822
"151",1,1,16,1,39.8478940844
"152",1,2,16,8,30.9481589272
"153",1,3,16,3,6.7069240433
"154",1,4,16,4,20.7798637514
"155",1,5,16,5,35.605160958
"156",1,6,16,6,16.1041009207
