id,trial,round,arm,out,int,cond
1,1,1,1,10.214093014,30.6957023207,ran
1,2,1,1,10.3010973598,30.6957023207,ran
1,3,1,1,9.8435458233,30.6957023207,ran
1,4,1,1,9.3476676528,30.6957023207,ran
1,5,1,1,9.8304303126,30.6957023207,ran
1,6,1,1,9.4076553526,30.6957023207,ran
1,7,1,1,9.5965123781,30.6957023207,ran
1,8,1,1,9.6398261295,30.6957023207,ran
1,9,1,1,9.9500835361,30.6957023207,ran
1,10,1,1,9.7312734108,30.6957023207,ran
1,1,2,5,22.571423519,21.85783583,ran
1,2,2,5,22.8164001642,21.85783583,ran
1,3,2,5,22.348410892,21.85783583,ran
1,4,2,5,22.3571775237,21.85783583,ran
1,5,2,5,22.4875594659,21.85783583,ran
1,6,2,5,23.0352780107,21.85783583,ran
1,7,2,5,21.9065576071,21.85783583,ran
1,8,2,5,22.5211514128,21.85783583,ran
1,9,2,5,22.2248687746,21.85783583,ran
1,10,2,5,22.4313596505,21.85783583,ran
1,1,3,8,2.1871696751,42.9892271477,neg
1,2,3,8,2.7992605514,42.9892271477,neg
1,3,3,8,2.0670512754,42.9892271477,neg
1,4,3,8,2.8449550277,42.9892271477,neg
1,5,3,8,2.4428887948,42.9892271477,neg
1,6,3,8,2.2487914202,42.9892271477,neg
1,7,3,8,1.3585773458,42.9892271477,neg
1,8,3,8,1.7297948749,42.9892271477,neg
1,9,3,8,2.7281747436,42.9892271477,neg
1,10,3,8,2.2943737605,42.9892271477,neg
1,1,4,1,35.3468658332,9.4232896344,pos
1,2,4,1,34.7204452755,9.4232896344,pos
1,3,4,1,34.6250117887,9.4232896344,pos
1,4,4,1,34.7760212996,9.4232896344,pos
1,5,4,1,34.7088712149,9.4232896344,pos
1,6,4,2,17.9941179215,9.4232896344,pos
1,7,4,1,34.5384871538,9.4232896344,pos
1,8,4,1,34.6670558151,9.4232896344,pos
1,9,4,1,34.2137508892,9.4232896344,pos
1,10,4,1,34.6122136432,9.4232896344,pos
1,1,5,5,23.7745365387,43.1569394746,neg
1,2,5,5,23.617767473,43.1569394746,neg
1,3,5,5,24.0461422634,43.1569394746,neg
1,4,5,5,23.1039106281,43.1569394746,neg
1,5,5,5,23.6017534975,43.1569394746,neg
1,6,5,5,23.5198273113,43.1569394746,neg
1,7,5,5,24.1348806576,43.1569394746,neg
1,8,5,5,23.4250759141,43.1569394746,neg
1,9,5,5,23.2381619011,43.1569394746,neg
1,10,5,5,23.2463551385,43.1569394746,neg
1,1,6,6,5.0006098001,46.5785712195,ran
1,2,6,6,4.7872118937,46.5785712195,ran
1,3,6,6,4.9192191612,46.5785712195,ran
1,4,6,3,9.7558340605,46.5785712195,ran
1,5,6,3,10.7058480645,46.5785712195,ran
1,6,6,3,9.5703931228,46.5785712195,ran
1,7,6,3,9.8258354631,46.5785712195,ran
1,8,6,3,9.8432617689,46.5785712195,ran
