id,trial,round,arm,out
1,1,1,3,33.4780168879
1,2,1,7,8.6163326935
1,3,1,8,2.2230559883
1,4,1,2,39.3435307252
1,5,1,3,33.7511892862
1,6,1,5,20.9853733127
1,7,1,6,14.8334821022
1,8,1,4,27.5378615193
1,9,1,1,46.275063177
1,10,1,2,39.9872885138
1,1,2,7,14.8048291632
1,2,2,1,43.4114160871
1,3,2,4,28.829853274
1,4,2,3,33.2711224161
1,5,2,8,9.8564449209
1,6,2,1,43.2005274107
1,7,2,1,43.4443023445
1,8,2,2,37.6293443011
1,9,2,1,43.0482679657
1,10,2,1,42.5907768785
1,1,3,1,6.0360170549
1,2,3,4,23.8332542076
1,3,3,5,29.451518915
1,4,3,6,35.1929542566
1,5,3,6,35.6580146563
1,6,3,2,11.687601974
1,7,3,3,17.1238749737
1,8,3,6,35.7936070993
1,9,3,6,35.2463720531
1,10,3,6,35.3039524334
1,1,4,7,40.4482417073
1,2,4,7,40.7864521984
1,3,4,3,18.3965212372
1,4,4,7,40.7674155004
1,5,4,5,29.4929338002
1,6,4,6,34.8129428743
1,7,4,7,40.1928306083
1,8,4,7,40.265601281
1,9,4,7,40.9270532199
1,10,4,7,40.7530469947
1,1,5,3,19.3162722654
1,2,5,2,13.8774922572
1,3,5,4,24.8680314487
1,4,5,5,30.1953646945
1,5,5,8,46.0712273114
1,6,5,8,45.625495025
1,7,5,8,46.0812071604
1,8,5,8,45.5771129241
1,9,5,8,45.9461187003
1,10,5,8,46.2581065934
1,1,6,5,25.3532369224
1,2,6,4,30.5118353981
1,3,6,3,36.684765457
1,4,6,1,48.3723545876
1,5,6,1,47.721149347
1,6,6,1,48.2396036574
1,7,6,1,48.0483426599
1,8,6,1,47.8680418355
1,9,6,1,47.9274760511
1,10,6,1,47.8627673583
1,1,7,2,13.0171875818
1,2,7,7,35.812673117
1,3,7,5,26.2854330032
1,4,7,2,13.1870405458
1,5,7,3,17.201858307
1,6,7,8,39.9958245067
1,7,7,7,35.5347299675
1,8,7,8,39.9645813951
1,9,7,8,40.3537786822
1,10,7,8,40.3538857927
1,1,8,3,17.5565010878
1,2,8,1,6.3832134243
1,3,8,6,34.5753460145
1,4,8,5,29.0319935726
1,5,8,7,40.6168000703
1,6,8,7,40.7052119321
1,7,8,7,39.8553312976
1,8,8,7,40.5821102353
1,9,8,7,40.5215809091
1,10,8,7,40.8462076471
1,1,9,3,30.6733291073
1,2,9,1,41.7921561313
1,3,9,1,41.4123403783
1,4,9,1,42.2703559742
1,5,9,1,41.5860083164
1,6,9,1,41.8056931085
1,7,9,1,41.7182007506
1,8,9,1,41.7731732967
1,9,9,1,41.9278544635
1,10,9,1,41.7934539208
1,1,10,5,21.5189064201
1,2,10,8,2.8399093476
1,3,10,6,15.2209224147
1,4,10,3,33.7081523076
1,5,10,2,38.9330740935
1,6,10,1,45.8334654794
1,7,10,1,46.0049918776
1,8,10,1,45.8841138134
1,9,10,1,45.4043754251
1,10,10,1,45.8526822873
1,1,11,3,40.5882255601
1,2,11,3,40.9430041069
1,3,11,3,40.0927286083
1,4,11,3,40.8237968552
1,5,11,3,40.6566862389
1,6,11,3,40.5921189937
1,7,11,3,40.8397457795
1,8,11,3,40.5292556034
1,9,11,3,40.5783360176
1,10,11,1,30.0450997397
1,1,12,4,38.5134336931
1,2,12,5,18.1042871245
1,3,12,3,43.5252937938
1,4,12,2,22.4569355973
1,5,12,3,42.9172587231
1,6,12,3,42.8202615578
1,7,12,3,43.2541688197
1,8,12,3,42.4141753798
1,9,12,3,42.8819449416
1,10,12,3,42.9340198869
1,1,13,2,37.8728794946
1,2,13,4,32.3963237939
1,3,13,1,27.1165122135
1,4,13,5,43.5940758788
1,5,13,5,43.4605125705
1,6,13,5,43.093769929
1,7,13,5,43.6974081044
1,8,13,5,43.2550747659
1,9,13,5,43.718738643
1,10,13,5,43.7860508119
1,1,14,3,30.2331073916
1,2,14,6,35.4733803959
1,3,14,7,40.9818825131
1,4,14,1,18.8883725501
1,5,14,7,41.6901903407
1,6,14,7,41.2542279141
1,7,14,8,8.3906054788
1,8,14,7,41.004706045
1,9,14,7,40.7941028917
1,10,14,7,40.9806745649
1,1,15,3,27.1614369626
1,2,15,6,22.3389918502
1,3,15,1,35.6214279371
1,4,15,4,8.4786017314
1,5,15,2,40.6139542676
1,6,15,2,41.1536692151
1,7,15,2,40.9467880721
1,8,15,2,40.67496048
1,9,15,2,41.2686580326
1,10,15,2,40.613453468
1,1,16,3,28.7212071129
1,2,16,5,45.6924745076
1,3,16,5,46.1009488122
1,4,16,5,46.6206860743
1,5,16,5,46.5915239114
1,6,16,5,46.9583346577
1,7,16,5,46.2587699509
1,8,16,5,46.5358255069
1,9,16,5,46.2864331116
1,10,16,5,46.4224217564
1,1,17,3,31.3977129812
1,2,17,8,37.483294316
1,3,17,1,14.5368110488
1,4,17,2,42.7183691456
1,5,17,2,42.4316629593
1,6,17,2,42.5786021295
1,7,17,2,42.6365339528
1,8,17,2,43.0014477186
1,9,17,2,42.6328648196
1,10,17,2,42.7708966669
1,1,18,3,23.4480721088
1,2,18,6,28.9828931583
1,3,18,7,6.6021379041
1,4,18,5,39.6281797236
1,5,18,1,12.3079829297
1,6,18,2,45.2043266609
1,7,18,2,44.924698352
1,8,18,2,45.3705012201
1,9,18,2,44.9309913541
1,10,18,2,45.0861773345
1,1,19,3,25.3076824512
1,2,19,4,35.5429658015
1,3,19,7,40.1794838272
1,4,19,7,40.3844723027
1,5,19,7,40.7085033965
1,6,19,7,41.1829906674
1,7,19,7,40.7849840172
1,8,19,7,41.0222424246
1,9,19,7,40.5616816529
1,10,19,7,40.5725567544
1,1,20,3,19.6228482432
1,2,20,1,14.61597585
1,3,20,8,9.5463039862
1,4,20,5,30.5914111614
1,5,20,2,25.0688847818
1,6,20,6,45.9663200041
1,7,20,6,45.6030010612
1,8,20,6,45.7026713753
1,9,20,6,44.9372994547
1,10,20,6,45.8626456792
1,1,21,3,16.0760391756
1,2,21,7,36.3309431537
1,3,21,5,26.7544625322
1,4,21,6,31.9418865441
1,5,21,4,21.803863825
1,6,21,1,7.2324413535
1,7,21,2,11.2752905031
1,8,21,8,41.6261563728
1,9,21,8,41.753807329
1,10,21,8,41.4040172242
1,1,22,2,14.1553028867
1,2,22,4,23.3842068529
1,3,22,1,8.9215530955
1,4,22,6,31.5880665875
1,5,22,7,36.6961252092
1,6,22,5,27.2870870877
1,7,22,8,40.7885113374
1,8,22,8,41.2115197188
1,9,22,8,41.1803101635
1,10,22,8,41.7260691745
1,1,23,8,6.9322571518
1,2,23,1,45.2160250201
1,3,23,1,44.863156501
1,4,23,1,46.0247964062
1,5,23,1,45.6375881383
1,6,23,1,45.2876903796
1,7,23,1,45.1280136829
1,8,23,1,45.8501451379
1,9,23,1,45.6009527712
1,10,23,1,45.6453894921
1,1,24,4,23.9269836787
1,2,24,2,34.7490918442
1,3,24,2,34.8226248013
1,4,24,4,24.6979164535
1,5,24,3,29.7913322465
1,6,24,6,13.4280947759
1,7,24,5,19.3323210756
1,8,24,7,8.7922038357
1,9,24,8,2.8982556272
1,10,24,1,40.3385583025
1,1,25,2,9.8599376259
1,2,25,5,27.9247795549
1,3,25,6,34.2257331662
1,4,25,7,40.3123106183
1,5,25,7,41.1521470027
1,6,25,7,40.9140397737
1,7,25,7,40.0334424589
1,8,25,7,40.1603262633
1,9,25,7,40.4943553144
1,10,25,6,34.0618598781
1,1,26,1,2.2450116782
1,2,26,5,25.1989081243
1,3,26,7,36.9956490875
1,4,26,6,30.8484649735
1,5,26,8,42.0031808395
1,6,26,8,42.3231720213
1,7,26,8,41.8288091764
1,8,26,8,42.3889621133
1,9,26,8,42.2550850342
1,10,26,8,42.2655693941
1,1,27,1,9.7615704267
1,2,27,5,31.2859403688
1,3,27,6,36.3530957099
1,4,27,1,9.6410361327
1,5,27,2,14.8316357803
1,6,27,3,20.3554538734
1,7,27,8,46.8160383626
1,8,27,8,46.7222741125
1,9,27,8,46.4424461394
1,10,27,8,47.1387358314
1,1,28,6,14.7689053595
1,2,28,8,2.4554718657
1,3,28,1,45.9970804472
1,4,28,1,46.864749389
1,5,28,1,46.3881582678
1,6,28,1,46.2342569615
1,7,28,1,45.4606272679
1,8,28,1,46.4188357071
1,9,28,1,46.5699210861
1,10,28,1,46.1715761222
1,1,29,8,4.0049928976
1,2,29,1,42.9742304523
1,3,29,1,43.2196993418
1,4,29,1,43.2741572752
1,5,29,1,43.7793602531
1,6,29,1,43.8445644266
1,7,29,1,43.3995594937
1,8,29,1,43.7713989043
1,9,29,1,43.25594003
1,10,29,1,43.5923981627
1,1,30,8,3.0261724014
1,2,30,1,43.8903492174
1,3,30,1,43.7300498987
1,4,30,1,43.4495621098
1,5,30,1,44.2451828667
1,6,30,1,43.6392201616
1,7,30,1,44.169956297
1,8,30,1,44.1034742329
1,9,30,1,43.7516386889
1,10,30,1,44.0488955409
2,1,1,2,9.718971396
2,2,1,7,4.1080274227
2,3,1,2,10.1119977036
2,4,1,3,16.0952767467
2,5,1,3,16.2828279217
2,6,1,4,21.6262901529
2,7,1,4,21.540534646
2,8,1,5,33.8937649448
2,9,1,6,45.3473455781
2,10,1,1,39.0730481433
2,1,2,7,29.1312121128
2,2,2,6,18.859425203
2,3,2,2,13.9456234126
2,4,2,3,35.4930623455
2,5,2,4,8.6515219877
2,6,2,5,24.2595431427
2,7,2,3,34.9773576673
2,8,2,3,34.6890812609
2,9,2,3,35.0805325009
2,10,2,1,46.1084727026
2,1,3,2,45.7736230872
2,2,3,3,22.3153555731
2,3,3,2,45.3824120018
2,4,3,2,45.1414622699
2,5,3,2,45.6476287969
2,6,3,2,45.086320758
2,7,3,2,45.228616818
2,8,3,2,45.1535262101
2,9,3,2,45.4312204164
2,10,3,2,45.2928385217
2,1,4,1,40.7008197473
2,2,4,3,6.0543361644
2,3,4,6,11.8100569161
2,4,4,1,40.3904985647
2,5,4,1,40.160973707
2,6,4,1,40.4472744568
2,7,4,1,40.3949542027
2,8,4,1,40.8155119131
2,9,4,1,40.4890430268
2,10,4,1,40.5214533342
2,1,5,2,32.9948722143
2,2,5,3,21.4712221507
2,3,5,8,4.2378667301
2,4,5,7,44.2097424143
2,5,5,7,44.1513455546
2,6,5,7,43.8300047686
2,7,5,7,44.322834322
2,8,5,7,44.6565081207
2,9,5,7,44.7918604457
2,10,5,7,43.9344188921
2,1,6,2,38.4060408088
2,2,6,3,7.1376593214
2,3,6,5,12.5466484438
2,4,6,6,17.0714753127
2,5,6,1,33.3572219928
2,6,6,2,38.9929156237
2,7,6,2,38.6304333725
2,8,6,2,37.9701205479
2,9,6,2,39.3544080978
2,10,6,2,38.7150861331
2,1,7,1,39.7455257682
2,2,7,8,23.7210037465
2,3,7,7,33.8008452555
2,4,7,1,39.3742443819
2,5,7,1,39.3566979805
2,6,7,1,39.6923885001
2,7,7,1,39.0859304985
2,8,7,1,39.7110048663
2,9,7,1,39.550186127
2,10,7,1,39.3121508897
2,1,8,7,24.7665036494
2,2,8,5,4.9571940527
2,3,8,6,35.3774727703
2,4,8,2,30.1198947119
2,5,8,3,40.9060461733
2,6,8,3,41.1082346583
2,7,8,3,40.8763042943
2,8,8,3,40.2015412632
2,9,8,3,40.7130793564
2,10,8,3,40.7669294972
2,1,9,1,17.5367693083
2,2,9,2,40.1545599367
2,3,9,3,45.9378852404
2,4,9,3,46.1267730685
2,5,9,3,45.9180316873
2,6,9,3,45.65307566
2,7,9,3,45.7225740672
2,8,9,3,45.7642040606
2,9,9,3,45.5694195911
2,10,9,3,45.7963531897
