mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.354,25.708,26.062,26.415,26.769,27.123,27.477,27.831,7.9845,8.1471,8.4113,8.7677,9.2058,9.7144,10.283,10.902,3.5564,1
24.59,24.18,23.77,23.36,22.95,22.54,22.13,21.72,12.667,12.753,12.896,13.094,13.344,13.643,13.988,14.376,8.017,1
24.105,23.21,22.314,21.419,20.524,19.629,18.734,17.838,13.485,13.551,13.661,13.813,14.007,14.24,14.51,14.816,12.513,1
24.29,23.579,22.869,22.158,21.448,20.738,20.027,19.317,14.71,14.774,14.881,15.029,15.216,15.443,15.706,16.005,16.722,1
24.353,23.706,23.059,22.412,21.765,21.118,20.471,19.824,14.151,14.214,14.319,14.464,14.648,14.871,15.129,15.422,20.602,1
24.267,23.535,22.802,22.069,21.336,20.604,19.871,19.138,12.783,12.842,12.94,13.076,13.248,13.456,13.698,13.971,24.156,1
24.109,23.219,22.328,21.438,20.547,19.657,18.766,17.876,11.773,11.826,11.913,12.034,12.187,12.372,12.588,12.832,27.728,1
24.151,23.301,22.452,21.602,20.753,19.903,19.054,18.204,11.259,11.309,11.391,11.505,11.65,11.825,12.029,12.26,31.249,1
24.309,23.618,22.927,22.235,21.544,20.853,20.162,19.471,13.136,13.187,13.271,13.389,13.538,13.718,13.929,14.167,36.302,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.313,23.627,22.94,22.254,21.567,20.88,20.194,19.507,7.4478,7.5535,7.7265,7.9623,8.2557,8.6006,8.9912,9.4218,3.7409,1
24.813,24.626,24.439,24.252,24.064,23.877,23.69,23.503,15.292,15.372,15.506,15.69,15.925,16.207,16.533,16.903,8.3153,1
24.837,24.674,24.511,24.348,24.184,24.021,23.858,23.695,12.862,12.945,13.083,13.272,13.512,13.8,14.132,14.506,11.952,1
24.941,24.883,24.824,24.765,24.707,24.648,24.589,24.531,12.007,12.088,12.223,12.41,12.646,12.928,13.255,13.621,15.649,1
24.53,24.061,23.591,23.122,22.652,22.182,21.713,21.243,12.116,12.179,12.284,12.429,12.614,12.835,13.092,13.383,19.759,1
24.642,24.284,23.926,23.569,23.211,22.853,22.495,22.137,13.568,13.63,13.734,13.878,14.06,14.281,14.536,14.826,24.282,1
24.722,24.445,24.167,23.89,23.612,23.335,23.057,22.78,14.502,14.564,14.666,14.808,14.988,15.206,15.46,15.747,28.737,1
24.795,24.589,24.384,24.179,23.973,23.768,23.563,23.357,14.373,14.434,14.535,14.676,14.855,15.07,15.321,15.606,32.744,1
24.853,24.705,24.558,24.411,24.264,24.116,23.969,23.822,14.879,14.94,15.04,15.18,15.357,15.571,15.821,16.103,37.124,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
