mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.718,29.572,33.477,29.572,25.718,25.033,25,25,8.4476,7.1393,0.14198,7.1393,8.4476,8.478,8.478,8.478,3.5564,1
25.011,26.607,33.478,26.607,24.99,21.894,8.6173,21.894,13.044,12.808,0.14199,12.808,13.044,12.808,0.14199,12.808,7.9746,1
44.665,39.22,33.478,27.491,21.312,15,8.6163,2.223,0.41003,0.14806,0.00024989,0.0601,0.060321,0.030199,0.0002499,0.0002499,10.857,1
45.005,39.344,33.478,27.439,21.26,14.974,8.6164,2.2231,0.0037495,0.00024989,0.00024989,0.0011056,0.0016274,0.0011056,0.0002499,0.0002499,9.1813,1
44.721,39.343,33.615,27.604,21.383,15.029,8.6164,2.223,0.0037405,0.0002499,0.00021642,0.0010953,0.0016235,0.0011045,0.00024991,0.00024991,597430,1
43.838,39.345,33.612,27.341,20.99,14.764,8.612,2.2248,0.001009,0.00024979,0.00021625,0.0002301,0.00024917,0.00024096,0.0002493,0.00024979,627450,1
43.878,39.348,33.609,27.35,21.015,14.797,8.6346,2.2197,0.00099859,0.00024964,0.00021587,0.00022814,0.00023384,0.00021368,0.00023672,0.00024917,668390,1
43.891,39.332,33.645,27.426,21.081,14.811,8.6042,2.2293,0.00099855,0.00024885,0.00021149,0.00020909,0.00022011,0.000213,0.00023382,0.00024892,1008400,1
46.202,39.605,33.497,27.43,21.215,14.855,8.4804,2.2731,0.00024794,0.00022121,0.00020207,0.00020909,0.00021284,0.00021219,0.00022799,0.00024827,3865100,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25,25,24.999,24.961,24.137,19.501,14.806,19.501,10.195,10.195,10.195,10.195,10.159,8.5851,0.13959,8.5851,3.7409,1
43.411,34.931,26.558,25.032,24.138,19.501,14.805,19.501,0.13959,12.531,14.828,14.881,14.828,12.531,0.13959,12.531,8.2381,1
43.411,38.6,33.717,28.83,24.006,19.31,14.805,10.547,0.014343,0.055209,0.045309,0.014343,0.045309,0.055209,0.014343,0.14857,11.006,1
43.329,38.407,33.507,28.664,23.912,19.286,14.817,10.534,0.39989,0.3423,0.34497,0.35672,0.35717,0.35795,0.40338,0.546,11.651,1
43.277,38.409,33.562,28.745,23.969,19.247,14.588,10.003,0.39439,0.34046,0.33822,0.34938,0.35158,0.34216,0.33773,0.37443,12.514,1
43.244,38.385,33.549,28.744,23.979,19.261,14.597,9.9963,0.28833,0.26853,0.27811,0.28943,0.29025,0.28182,0.27897,0.31004,12.426,1
43.309,38.419,33.56,28.74,23.966,19.247,14.59,10.001,0.25301,0.2441,0.25717,0.26848,0.26887,0.26067,0.25811,0.28729,12.321,1
